@lat	@lon	name	addr:street	addr:housenumber	addr:postcode	addr:city	cuisine	website
47.3734574	8.5449046	Corazón	Brunngasse	17	8001	Zürich		
47.3887272	8.5213785	Nooch Asian Kitchen	Heinrichstrasse	267	8005	Zürich	asian;sushi	https://www.nooch.ch/nooch-zuerich-steinfels
47.3884825	8.5211173	Brauerei Steinfels	Heinrichstrasse	267	8005	Zürich	burger	https://brauerei-steinfels.ch/
47.3844648	8.5278368	Tibetasia			8005	Zürich	asian;tibetan	
47.3581573	8.5225902	Rüsterei Grill	Kalanderplatz	6	8045	Zürich	international	https://ruesterei.ch/
47.3845990	8.5275777	Damas			8005	Zürich	arab	http://www.restaurantdamas.ch
47.3720798	8.5270244	Werd						http://www.restaurant-werd.ch/
47.3731595	8.5261099	Paneolio	Cramerstrasse	8			italian	https://panelio.ch
47.3729919	8.5327533	Saigon	Sihlstrasse	97	8001	Zürich		http://www.saigon.ch/web/saigon/
47.3836276	8.5287302	Eisenhof			8005	Zürich	regional	https://www.restauranteisenhof.ch/
47.3761362	8.5338456	Cucina	Kasernenstrasse	77a	8004	Zürich	italian;pizza	https://www.cucinarestaurant.ch/
47.3885734	8.4847702	Roter Stein	Herrligstrasse	39	8048	Zürich	italian;regional	https://roter-stein.ch/
47.3933700	8.5294371	Nordbrücke	Dammstrasse	58	8037	Zürich		https://www.nordbruecke.ch/
47.3935843	8.5296761	The Artisan	Nordbrücke	4	8037	Zürich	international	https://theartisan.ch/
47.3645425	8.5207830	Chez Nhan	Uetlibergstrasse	22	8045	Zürich	vietnamese	http://cheznhan.ch/
47.3606785	8.5179538	Vietnam					vietnamese	http://restaurant-vietnam.ch/
47.3616035	8.5180157	Utoburg					"regional
swiss"	http://utoburg.ch/
47.4028170	8.5355605	Fallender Brunnenhof						
47.3780992	8.4829214	Pizzeria Untermoos	Untermoosstrasse	1	8047	Zürich		https://restaurant-untermoos.ch/
47.3750359	8.4841815	Zum Weissen Rössli	Albisriederstrasse	379	8047	Zürich	swiss	
47.4135291	8.5387892	Hong-Kong Food Paradise	Binzmühlestrasse	104	8050	Zürich	asian	http://hongkongfoodparadise.ch/store_locator/oerlikon-3/
47.3605504	8.5524597	Escoffier						
47.3602524	8.5521363	Stripped Pizza	Seefeldstrasse	88	8008	Zürich	pizza	https://www.stripped-pizza.com/
47.3938594	8.5311096	New Avataar	Rütschistrasse	29	8037	Zürich	indian	https://newavataar.com/
47.3727070	8.5198180	Zum Guten Glück	Stationsstrasse	7	8003	Zürich		
47.3822104	8.4838926	Restaurant Sonne Libanon	Altstetterstrasse	223			lebanese	http://sonnelibanon.ch/
47.3779179	8.5160184	Café Boy	Kochstrasse	2	8004	Zürich	regional	https://www.cafeboy.ch/
47.3963892	8.4823067	Villa Grillhaus						
47.3832538	8.5416447	Drei Stuben					swiss	https://www.drei-stuben.ch/
